Vivado Simulator 2020.1
Time resolution is 1 ps
031 * 020 = 620 
031 * 021 = 651 
031 * 022 = 682 
031 * 023 = 713 
031 * 024 = 744 
031 * 025 = 775 
031 * 026 = 806 
031 * 027 = 837 
031 * 028 = 868 
031 * 029 = 899 
031 * 030 = 930 
031 * 031 = 961 
Passed 4 and 5 bit Multiplier Tests! :)))
